,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,stage,year,founder Count,num_founders,FounderCategory
0,Unbox Robotics,2019,Bangalore,AI,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon",BEENEXT,1200000.0,early traction,2021,2,2,Multiple Founders
1,upGrad,2015,Mumbai,Education,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",Unilazer Ventures,120000000.0,others,2021,4,4,Multiple Founders
2,Lead School,2012,Mumbai,Education,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta",GSV Ventures,30000000.0,early traction,2021,2,2,Multiple Founders
3,Bizongo,2015,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal",CDC Group,51000000.0,early traction,2021,3,3,Multiple Founders
4,FypMoney,2021,Gurgaon,Financial Services,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,Liberatha Kallat,2000000.0,validation,2021,1,1,Multiple Founders
5,Urban Company,2014,Delhi,Service industry,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000.0,others,2021,3,3,Multiple Founders
6,Comofi Medtech,2018,Bangalore,HealthTech,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,CIIE.CO,200000.0,others,2021,1,1,Multiple Founders
7,Qube Health,2016,Mumbai,HealthTech,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,3000000.0,early traction,2021,1,1,Multiple Founders
8,Vitra.ai,2020,Bangalore,Tech Startup,Vitra.ai is an AI-based video translation platform,Akash Nidhi PS,Inflexor Ventures,3000000.0,others,2021,1,1,Multiple Founders
9,Taikee,2010,Mumbai,E-Commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",None,1000000.0,others,2021,2,2,Multiple Founders
10,Fitterfly,2016,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,9Unicorns Accelerator Fund,3000000.0,early traction,2021,1,1,Multiple Founders
11,FreeStand,2017,Delhi,B2B service,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni",SucSEED Indovation,100000.0,others,2021,2,2,Multiple Founders
12,MyDentalPlan,2014,Bangalore,HealthTech,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000.0,validation,2021,3,3,Multiple Founders
13,Freyr Energy,2014,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","adhika Choudary, Saurabh Marda",Impact Partners,2000000.0,others,2021,2,2,Multiple Founders
14,DealShare,2018,Jaipur,E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao",Tiger Global Management,9000000.0,others,2021,3,3,Multiple Founders
15,Tessolve,1993,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000.0,others,2021,3,3,Multiple Founders
16,Smart Joules,2014,Delhi,Renewable Energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta",aintree Family Office,49000000.0,others,2021,3,3,Multiple Founders
17,ORAI,2020,Bangalore,InfoTech & Services,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000.0,early traction,2021,2,2,Multiple Founders
18,ixamBee,2016,Delhi,Education,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,Mumbai Angels,300000.0,validation,2021,1,1,Multiple Founders
19,CoinSwitch Kuber,2017,Bangalore,Financial Services,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Paradigm,25000000.0,early traction,2021,3,3,Multiple Founders
20,Razorpay,2014,Bangalore,Financial Services,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar",Matrix Partners India,160000000.0,early traction,2021,2,2,Multiple Founders
21,Uable,2020,Bangalore,Education,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,Chiratae Ventures,3000000.0,validation,2021,1,1,Multiple Founders
22,ZFW Hospitality,2015,Delhi,Food Industry,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,Mumbai Angels Network,150000.0,validation,2021,1,1,Multiple Founders
23,Optimized Electrotech,2017,Ahmedabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000.0,early traction,2021,5,5,Multiple Founders
24,Northern Arc,2008,Chennai,Financial Services,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,Kotak Mahindra Bank,5000000.0,others,2021,1,1,Multiple Founders
25,Chara,2019,Bangalore,InfoTech & Services,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000.0,validation,2021,3,3,Multiple Founders
26,Sirona Hygiene,2015,Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj",NB Ventures,3000000.0,early traction,2021,2,2,Multiple Founders
27,Pristyn Care,2018,Gurgaon,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,Sequoia Capital India,53000000.0,early traction,2021,1,1,Multiple Founders
28,TrulyMadly,2013,Delhi,Entertainment,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia",Gaurav Munjal,2000000.0,early traction,2021,3,3,Multiple Founders
29,Vidyakul,2018,None,Education,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"aman Garg, Tarun Saini",JITO Angel Network,500000.0,validation,2021,2,2,Multiple Founders
30,Jambox Games,2021,Bangalore,Entertainment,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",avi Vyas,None,1100000.0,validation,2021,1,1,Multiple Founders
31,Miko,2015,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani",Chiratae Ventures,6000000.0,others,2021,3,3,Multiple Founders
32,SuperK,2019,Small Towns,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,800000.0,validation,2021,1,1,Multiple Founders
33,TagZ Foods,2019,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,early traction,2021,2,2,Multiple Founders
34,Fuel Buddy,2017,Delhi,Oil and Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,1000000.0,others,2021,1,1,Multiple Founders
35,M1xchange,2017,Gurgaon,Financial Services,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000.0,others,2021,1,1,Multiple Founders
36,Spintly,2017,Goa,Tech Startup,Wireless cloud based access control platform,ohin Parkar,iso Capital,500000.0,others,2021,1,1,Multiple Founders
37,EF Polymer,2018,ajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,others,2021,1,1,Multiple Founders
38,boAt,2016,Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta",Qualcomm Ventures,6000000.0,others,2021,2,2,Multiple Founders
39,TruNativ,2019,Mumbai,Food Industry,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,3000000.0,validation,2021,2,2,Multiple Founders
40,iBus,2010,Bangalore,Service industry,iBus Networks is an in-building connectivity solutions company,"am Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000.0,others,2021,2,2,Multiple Founders
41,Puresh Daily,2019,anchi,Food Industry,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar",Alfa Ventures,100000.0,validation,2021,2,2,Multiple Founders
42,LearnVern,2016,Ahmedabad,Education,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",None,1000000.0,others,2021,2,2,Multiple Founders
43,LimeChat,2020,aridabad,AI,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta",Stellaris Venture Partners,7500000.0,validation,2021,2,2,Multiple Founders
44,Dybo,2019,Bangalore,IT,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,validation,2021,1,1,Multiple Founders
45,moEVing,2021,Gurgaon,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,None,1000000.0,validation,2021,1,1,Multiple Founders
46,WeWork India,2017,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,None,26000000.0,others,2021,1,1,Multiple Founders
47,Solethreads,2018,Gurgaon,Fashion and lifestyle,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,DSG Consumer Partners,1000000.0,early traction,2021,1,1,Multiple Founders
48,Beldara,2018,Mumbai,E-Commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,others,2021,1,1,Multiple Founders
49,CredFlow,2020,Delhi,Financial Services,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,Stellaris Venture Partners,2000000.0,validation,2021,1,1,Multiple Founders
50,Do Your Thng,2018,Gurgaon,Marketing,World's first shared economy platform for digital assets.,Ankit Agarwal,Angelbay Holdings,1500000.0,others,2021,1,1,Multiple Founders
51,Oye Rickshaw,2017,Gurgaon,Transportation,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma",Alteria Capital,3000000.0,others,2021,2,2,Multiple Founders
52,Legitquest,2017,Delhi,LegalTech,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla",WaterBridge Ventures,600000.0,others,2021,3,3,Multiple Founders
53,Swiggy,2014,Bangalore,Food Industry,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety",Carmignac,800000000.0,others,2021,3,3,Multiple Founders
54,AntWak,2019,Bangalore,Education,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman",Vaibhav Domkundwar,3000000.0,validation,2021,5,5,Multiple Founders
55,PlayShifu,2016,Bangalore,Education,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal",Chiratae Ventures,17000000.0,early traction,2021,2,2,Multiple Founders
56,Pitstop,2015,Bangalore,Transportation,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak",Acko Technology,3500000.0,early traction,2021,3,3,Multiple Founders
57,Lendingkart,1999,Gujarat,Financial Services,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan",Bertelsmann India Investments,15000000.0,others,2021,2,2,Multiple Founders
58,CRED,2018,Bangalore,Financial Services,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,Dragoneer Investment Group,215000000.0,early traction,2021,1,1,Multiple Founders
59,Karnival,2015,Bangalore,AI,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,None,2500000.0,validation,2021,1,1,Multiple Founders
60,PharmEasy,2015,Mumbai,HealthTech,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani",TPG Growth,350000000.0,early traction,2021,3,3,Multiple Founders
61,WESS,1989,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum FiNonecial Services,2000000.0,validation,2021,1,1,Multiple Founders
62,ShopSe,2020,Mumbai,Financial Services,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai",Chiratae Ventures,5500000.0,others,2021,3,3,Multiple Founders
63,Fantasy Akhada,2020,Gurgaon,Fantasy sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,600000.0,others,2021,1,1,Multiple Founders
64,Rage Coffee,2018,Delhi,Food Industry,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,GetVantage,3000000.0,early traction,2021,1,1,Multiple Founders
65,Groww,2017,Bangalore,Financial Services,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh",Tiger Global Management,83000000.0,early traction,2021,4,4,Multiple Founders
66,Avanti Finance,2016,Bangalore,Financial Services,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"atan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000.0,early traction,2021,2,2,Multiple Founders
67,Kudos,2014,Pune,Financial Services,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Naresh Vigh,Marquee fintech founders,3000000.0,early traction,2021,1,1,Multiple Founders
68,OfBusiness,2015,Gurgaon,Financial Services,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar",alcon Edge India,110000000.0,others,2021,8,8,Multiple Founders
69,Superpro.ai,2019,Bangalore,Entertainment,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar",SOSV,3000000.0,validation,2021,4,4,Multiple Founders
70,ShareChat,2015,Bangalore,Media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan",Twitter Ventures,500000000.0,others,2021,3,3,Multiple Founders
71,WiT-ACE,2020,Gurgaon,HR,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000.0,validation,2021,1,1,Multiple Founders
72,Spinny,2015,Gurgaon,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur",Arena Holdings,65000000.0,early traction,2021,3,3,Multiple Founders
73,Alteria Capital,2018,Mumbai,Financial Services,Alteria Capital is a Venture debt firm .,Vinod Murali,None,150000000000.0,others,2021,1,1,Multiple Founders
74,Safexpay,2017,Thane,Financial Services,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,avi Gupta,T Choithrams BVI,6000000.0,others,2021,1,1,Multiple Founders
75,PumPumPum,2018,Gurgaon,Real Estate,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra",Kogta FiNonecial India Limited,700000.0,early traction,2021,2,2,Multiple Founders
76,Speciale Invest,2017,Bangalore,Financial Services,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",None,10000000.0,others,2021,2,2,Multiple Founders
77,Eunimart,2016,Hyderabad,E-Commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder",SucSEED Venture Partners,700000.0,early traction,2021,2,2,Multiple Founders
78,Meesho,2015,Bangalore,E-Commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey",SAIF Partners,300000000.0,others,2021,2,2,Multiple Founders
79,CareerLabs,2019,Bangalore,Education,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,others,2021,3,3,Multiple Founders
80,Uable,2020,Bangalore,Education,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh Saxena,JAFCO Asia,35000000.0,early traction,2021,1,1,Multiple Founders
81,Zoko,2016,Bangalore,Tech Startup,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,140000000.0,validation,2021,2,2,Multiple Founders
82,GetWork,2019,Gurgaon,HR,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,ahul Veerwal,Artha Venture Fund,200000.0,validation,2021,1,1,Multiple Founders
83,Easebuzz,2015,Pune,E-Commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,ohit Prasad,Jitendra Gupta,4000000.0,early traction,2021,1,1,Multiple Founders
84,Chingari,2018,Bangalore,Media,Chingari operates as a short video platform.,Sumit Ghosh,J Labs,13000000.0,others,2021,1,1,Multiple Founders
85,DusMinute,2017,Bangalore,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,early traction,2021,1,1,Multiple Founders
86,Onsurity,2020,Bangalore,HealthTech,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal",Jitendra Gupta,3000000.0,others,2021,2,2,Multiple Founders
87,Karbon Card,2019,Bangalore,Financial Services,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,3000000.0,others,2021,4,4,Multiple Founders
88,Factors.AI,2020,Bangalore,AI,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan",levation Partners,2000000.0,others,2021,3,3,Multiple Founders
89,Elevar,2017,Mumbai,Sports,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah",Kalaari Capital,2000000.0,others,2021,2,2,Multiple Founders
90,Studio Sirah,2020,Bangalore,Entertainment,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000.0,others,2021,2,2,Multiple Founders
91,OTO Capital,2018,Mumbai,Financial Services,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000.0,others,2021,2,2,Multiple Founders
92,1Bridge,2016,Bangalore,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000.0,others,2021,3,3,Multiple Founders
93,Skeps,2018,Gurgaon,Financial Services,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000.0,others,2021,2,2,Multiple Founders
94,Curefoods,2020,Bangalore,Food Industry,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,Iron Pillar,13000000.0,others,2021,1,1,Multiple Founders
95,TartanSense,2015,Bangalore,InfoTech & Services,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,MC,5000000.0,others,2021,1,1,Multiple Founders
96,Bewakoof,2012,Mumbai,Fashion and lifestyle,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,others,2021,1,1,Multiple Founders
97,Kirana247,2018,Delhi,Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",None,1000000.0,others,2021,2,2,Multiple Founders
98,FanPlay,2020,None,Entertainment,A real money game app specializing in trivia games,YC W21,Pritesh Kumar,1200000.0,others,2021,1,1,Multiple Founders
99,NeoDocs,2020,Mumbai,HealthTech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha",Y Combinator,3000000.0,others,2021,3,3,Multiple Founders
100,IsGoingOnline,2015,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,obin Alex,Unicorn India Ventures,200000.0,others,2021,1,1,Multiple Founders
101,Camp K12,2010,Gurgaon,Education,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,Matrix Partners India,12000000.0,others,2021,1,1,Multiple Founders
102,Elda Health,2020,Bangalore,HealthTech,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma",Avaana Capital,1500000.0,others,2021,3,3,Multiple Founders
103,Sporjo,2020,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,others,2021,1,1,Multiple Founders
104,Advantage Club,2014,Mumbai,HR,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah",Y Combinator,1700000.0,others,2021,2,2,Multiple Founders
105,SuperGaming,2017,Pune,Entertainment,"At SuperGaming, building India's best gaming company.","oby John, Sanket Nadhani, Navneet Waraich",Skycatcher,5500000.0,others,2021,3,3,Multiple Founders
106,Ruptok,2020,Delhi,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,clear Leasing,1000000.0,others,2021,1,1,Multiple Founders
108,TartanSense,2015,Bangalore,InfoTech & Services,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,MC,5000000.0,early traction,2021,1,1,Multiple Founders
110,Kirana247,2018,Delhi,Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",None,1000000.0,early traction,2021,2,2,Multiple Founders
112,NeoDocs,2020,Mumbai,HealthTech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha",Y Combinator,3000000.0,validation,2021,3,3,Multiple Founders
113,IsGoingOnline,2015,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,obin Alex,Unicorn India Ventures,200000.0,early traction,2021,1,1,Multiple Founders
114,Camp K12,2010,Gurgaon,Education,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,Matrix Partners India,12000000.0,early traction,2021,1,1,Multiple Founders
115,Elda Health,2020,Bangalore,HealthTech,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma",Avaana Capital,1500000.0,validation,2021,3,3,Multiple Founders
116,Sporjo,2020,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,early traction,2021,1,1,Multiple Founders
118,SuperGaming,2017,Pune,Entertainment,"At SuperGaming, building India's best gaming company.","oby John, Sanket Nadhani, Navneet Waraich",Skycatcher,5500000.0,early traction,2021,3,3,Multiple Founders
120,O’ Be Cocktails,2019,Bangalore,Food Industry,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,irst Cheque,400000.0,others,2021,1,1,Multiple Founders
121,Zetwerk,2018,Bangalore,Mechanical & Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",None,150000000.0,early traction,2021,2,2,Multiple Founders
122,AppsForBharat,2020,Bangalore,others,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,Sequoia Capital India,4000000.0,validation,2021,1,1,Multiple Founders
123,Imagimake,2011,Mumbai,Consumer Goods,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,3000000.0,others,2021,2,2,Multiple Founders
124,Khatabook,2018,Bangalore,Financial Services,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"avish Naresh, Ashish Sonone",Tribe Capital,100000000.0,early traction,2021,2,2,Multiple Founders
125,Smytten,2015,Gurgaon,Consumer Goods,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",ireside Ventures,6000000.0,early traction,2021,2,2,Multiple Founders
126,Syook,2016,Bangalore,AI,Syook is building the next generation enterprise IOT platform.,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan",Inflection Point Ventures,1000000.0,early traction,2021,3,3,Multiple Founders
127,Akudo,2020,Bangalore,Financial Services,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi",Y Combinator,3000000.0,validation,2021,3,3,Multiple Founders
128,NOTO,2019,Mumbai,Consumer Goods,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth",Titan Capital,500000.0,early traction,2021,2,2,Multiple Founders
129,Lumiq,2013,Noida,InfoTech & Services,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,Info Edge Ventures,2000000.0,validation,2021,1,1,Multiple Founders
130,CommerceUp,2018,Gurgaon,InfoTech & Services,Grow and manage ecommerce business from single dashboard,Piyush Pathak,NB Ventures,3000000.0,validation,2021,1,1,Multiple Founders
131,Breathe Well-being,2015,Gurgaon,HealthTech,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","ohan Verma, Aditya Kaicker",Accel,5500000.0,early traction,2021,2,2,Multiple Founders
132,Hike,2012,Delhi,InfoTech & Services,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,Kavin Bharti Mittal,Binny Bansal,3000000.0,others,2021,1,1,Multiple Founders
133,House of Kieraya,2013,Bangalore,Fashion and lifestyle,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",Ajith Mohan Karimpana,TradeCred,15000000.0,others,2021,1,1,Multiple Founders
