,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,stage,year,founder Count,num_founders,FounderCategory
387,SeeVC,2020,Delhi,Tech Startup,Leverages artificial intelligence (AI) to build products for the education sector,"Shivam Sood, Lark Aakarshan",Jimmy Singh,1000000.0,validation,2021,2,2,Multiple Founders
388,Junio,2020,Delhi,Education,Junio is a kids-focused digital pocket money-smart card.,Shankar Nath,Kunal Shah,1000000.0,others,2021,1,1,Multiple Founders
389,VenWiz,2020,Bangalore,B2B service,Digitising the interactions between core industry and vendors for engineering services,"ajesh Reddy, Sandesh Paturi",Accel,300000.0,validation,2021,2,2,Multiple Founders
390,Vista Rooms,2015,Mumbai,Hospitality,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""","Amit Damani, Ankita Sheth, Pranav Maheshwari",Singapore Angel Network,1000000.0,others,2021,3,3,Multiple Founders
391,Makers Hive,2018,Hyderabad,Tech Startup,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable",Pranav Vempati,Starfish Growth Partners,9000000.0,others,2021,1,1,Multiple Founders
392,Headfone,2017,Bangalore,Media,Headfone helps create and share the audio content with listeners.,"Pratham Khandelwal, Yogesh Sharma",Hashed,3000000.0,validation,2021,2,2,Multiple Founders
393,Zouk,2016,Mumbai,Fashion and lifestyle,100% Vegan bags from India.,Disha Singh,Titan Capital,3000000.0,validation,2021,1,1,Multiple Founders
394,MPL,2018,Bangalore,Entertainment,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra",Pegasus Tech Ventures,5000000.0,others,2021,2,2,Multiple Founders
395,GrowFix,2020,Bangalore,Financial Services,Building high-yield Debt assets for retail investors,"Ajinkya Kulkarni, Abhik Patel",Zerodhas Rainmatter Capital,2000000.0,validation,2021,2,2,Multiple Founders
396,Bombay Shaving Company,2016,Delhi,Fashion and lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande",Sixth Sense Ventures,6000000.0,others,2021,4,4,Multiple Founders
397,Dunzo,2015,Bangalore,Service industry,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha",Lightbox,40000000.0,early traction,2021,4,4,Multiple Founders
398,BeyondSkool,2020,Mumbai,Education,BeyondSkool is a live upskilling platform for kids,Payal Gaba,Tomorrow Capital,2000000.0,validation,2021,1,1,Multiple Founders
399,Mindler,2015,Delhi,Education,Mindler is a career counseling company that provides career development guidance counseling services for students.,Prateek Bhargava,Inflection Point Ventures,1000000.0,early traction,2021,1,1,Multiple Founders
400,Fashinza,2020,Gurgaon,B2B Manufacturing,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Abhishek Sharma, Pawan Gupta",Accel Partners,2600000.0,validation,2021,2,2,Multiple Founders
401,BharatPe,2018,Delhi,Financial Services,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani",InnoVen Capital,6000000.0,others,2021,2,2,Multiple Founders
402,Turnip,2020,Bangalore,Entertainment,Turnip is a live game streaming and community platform.,"Aditya Sharma, Pooja Dubey",levation Capital,1600000.0,validation,2021,2,2,Multiple Founders
403,Furlenco,2012,Bangalore,Real Estate,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,Ajith Karimpana,BlackSoil Capital,2000000.0,others,2021,1,1,Multiple Founders
404,Inficold,2015,Delhi,Solar,Provide uninterrupted and affordable cooling for refrigeration,"Himanshu Pokharna, Nitin Goel",Shell Foundation,900000.0,early traction,2021,2,2,Multiple Founders
405,KIWI,2020,Delhi,InfoTech & Services,"A peer to peer support network, which would enable billions of users across the world","Imran Ladiwala, Mishu Ahluwalia",PointOne Capital,250000.0,validation,2021,2,2,Multiple Founders
406,Digit Insurance,2016,Bangalore,Financial Services,Digit Insurance is a financial services company that general insurance services.,Kamesh Goyal,A91 Partners,3000000.0,others,2021,1,1,Multiple Founders
407,BharatPe,2018,Delhi,Financial Services,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani",InnoVen Capital,10000000.0,others,2021,2,2,Multiple Founders
408,MFine,2017,Bangalore,HealthTech,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app.,"Ajit Narayanan, Ashutosh Lawania, Prasad Kompalli",Blockchain Capital,16000000.0,others,2021,3,3,Multiple Founders
409,Udayy,2019,Gurgaon,Education,Interactive learning platform for kids,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,2500000.0,validation,2021,3,3,Multiple Founders
410,Lohum,2017,Noida,Transportation,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,ajat Verma,Baring Private Equity Partners India,7000000.0,others,2021,1,1,Multiple Founders
411,Darwinbox,2015,Hyderabad,HR,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate entire employee lifecycle in one HR platform.,"Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni",Sequoia Capital India,15000000.0,others,2021,3,3,Multiple Founders
412,DeHaat,2012,Patna,AgriTech,DeHaat connects farmers to suppliers and buyers on a single platform.,"Shashank Kumar, Manish Kumar",Prosus Ventures,30000000.0,early traction,2021,2,2,Multiple Founders
413,Samunnati,2014,Chennai,AgriTech,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,Anil Kumar,U.S. International Development FiNonece Corp,10000000.0,others,2021,1,1,Multiple Founders
414,Biconomy,2019,Delhi,Logistics,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar",BiNonece Labs,1500000.0,validation,2021,3,3,Multiple Founders
415,True Elements,2011,Pune,Food Industry,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!","Puru Gupta, Sreejith Moolayil",P-Sanjiv Goenka Group,1000000.0,others,2021,2,2,Multiple Founders
416,Siply,2020,Bangalore,Financial Services,Siply Services operates as a micro-savings platform.,Sousthav Chakrabarty,Inflection Point Ventures,1000000.0,validation,2021,1,1,Multiple Founders
